date_time,Average PMV,Habitability,Habitability?
2021-01-10 14:00:00,-4.828825501741695,H,NH
2021-01-10 15:00:00,-4.781430262526471,H,NH
2021-01-10 16:00:00,-4.778553515900415,H,NH
2021-01-10 17:00:00,-4.797624931759823,H,NH
2021-01-10 18:00:00,-4.821232408436075,H,NH
2021-01-10 19:00:00,-4.8334969320315215,H,NH
2021-01-10 20:00:00,-4.840904479051875,H,NH
2021-01-10 21:00:00,-4.848915316997117,H,NH
2021-01-10 22:00:00,-4.858609967589271,H,NH
2021-01-10 23:00:00,-4.861616707247394,H,NH
2021-01-11 00:00:00,-4.864860880404503,H,NH
2021-01-11 01:00:00,-4.863451376954814,H,NH
2021-01-11 02:00:00,-4.873768758897648,H,NH
2021-01-11 03:00:00,-4.8820606588529465,H,NH
2021-01-11 04:00:00,-4.885913271815288,H,NH
2021-01-11 05:00:00,-4.883909061255774,H,NH
2021-01-11 06:00:00,-4.88508052628527,H,NH
2021-01-11 07:00:00,-4.886652687086434,H,NH
2021-01-11 08:00:00,-4.873734204006975,H,NH
2021-01-11 09:00:00,-4.836655283458288,H,NH
2021-01-11 10:00:00,-4.815303170199574,H,NH
2021-01-11 11:00:00,-4.794690568202108,H,NH
2021-01-11 12:00:00,-4.7667400910445865,H,NH
2021-01-11 13:00:00,-4.752197700721507,H,NH
2021-01-11 14:00:00,-4.7251516461985394,H,NH
2021-01-11 15:00:00,-4.7154636166378365,H,NH
2021-01-11 16:00:00,-4.720545049180214,H,NH
2021-01-11 17:00:00,-4.720075651046897,H,NH
2021-01-11 18:00:00,-4.713524027924991,H,NH
2021-01-11 19:00:00,-4.715593839636913,H,NH
2021-01-11 20:00:00,-4.723469369198803,H,NH
2021-01-11 21:00:00,-4.723078161408566,H,NH
2021-01-11 22:00:00,-4.722575502820006,H,NH
2021-01-11 23:00:00,-4.718545103833464,H,NH
2021-01-12 00:00:00,-4.71424072576551,H,NH
2021-01-12 01:00:00,-4.70456867142087,H,NH
2021-01-12 02:00:00,-4.693663011089526,H,NH
2021-01-12 03:00:00,-4.688410667756696,H,NH
2021-01-12 04:00:00,-4.686526855048229,H,NH
2021-01-12 05:00:00,-4.674312615634492,H,NH
2021-01-12 06:00:00,-4.660344111071104,H,NH
2021-01-12 07:00:00,-4.645327005724467,H,NH
2021-01-12 08:00:00,-4.63116534473023,H,NH
2021-01-12 09:00:00,-4.607329355148238,H,NH
2021-01-12 10:00:00,-4.582123520751377,H,NH
2021-01-12 11:00:00,-4.544832847085775,H,NH
2021-01-12 12:00:00,-4.514042520781643,H,NH
2021-01-12 13:00:00,-4.489582214030507,H,NH
2021-01-12 14:00:00,-4.460604504585958,H,NH
2021-01-12 15:00:00,-4.433340774724769,H,NH
2021-01-12 16:00:00,-4.428984474550947,H,NH
2021-01-12 17:00:00,-4.429881994726814,H,NH
2021-01-12 18:00:00,-4.438788401285598,H,NH
2021-01-12 19:00:00,-4.460593175257636,H,NH
2021-01-12 20:00:00,-4.468956514978297,H,NH
2021-01-12 21:00:00,-4.468468094298296,H,NH
2021-01-12 22:00:00,-4.459594872096632,H,NH
2021-01-12 23:00:00,-4.460138930840757,H,NH
2021-01-13 00:00:00,-4.458441263302898,H,NH
2021-01-13 01:00:00,-4.454458220994673,H,NH
2021-01-13 02:00:00,-4.456875067974031,H,NH
2021-01-13 03:00:00,-4.459299876721249,H,NH
2021-01-13 04:00:00,-4.46421074379727,H,NH
2021-01-13 05:00:00,-4.49067917332692,H,NH
2021-01-13 06:00:00,-4.507737452353557,H,NH
2021-01-13 07:00:00,-4.509926335738382,H,NH
2021-01-13 08:00:00,-4.5115125121637645,H,NH
2021-01-13 09:00:00,-4.507290036392601,H,NH
2021-01-13 10:00:00,-4.496852430571414,H,NH
2021-01-13 11:00:00,-4.427601249216642,H,NH
2021-01-13 12:00:00,-4.32383918672874,H,NH
2021-01-13 13:00:00,-4.211732788199253,H,NH
2021-01-13 14:00:00,-4.145267390289498,H,NH
2021-01-13 15:00:00,-4.122214888552932,H,NH
2021-01-13 16:00:00,-4.128175736981,H,NH
2021-01-13 17:00:00,-4.198819784898102,H,NH
2021-01-13 18:00:00,-4.263260128834845,H,NH
2021-01-13 19:00:00,-4.3146182625459355,H,NH
2021-01-13 20:00:00,-4.348887636876044,H,NH
2021-01-13 21:00:00,-4.387053357431306,H,NH
2021-01-13 22:00:00,-4.415185473449092,H,NH
2021-01-13 23:00:00,-4.449276750310058,H,NH
2021-01-14 00:00:00,-4.474369405738458,H,NH
2021-01-14 01:00:00,-4.497555501534497,H,NH
2021-01-14 02:00:00,-4.508833132955598,H,NH
2021-01-14 03:00:00,-4.518999259266299,H,NH
2021-01-14 04:00:00,-4.52831710857816,H,NH
2021-01-14 05:00:00,-4.530178581827762,H,NH
2021-01-14 06:00:00,-4.528954301895365,H,NH
2021-01-14 07:00:00,-4.522642628934166,H,NH
2021-01-14 08:00:00,-4.521378036180095,H,NH
2021-01-14 09:00:00,-4.508156229916484,H,NH
2021-01-14 10:00:00,-4.493811628349827,H,NH
2021-01-14 11:00:00,-4.457821351836608,H,NH
2021-01-14 12:00:00,-4.407037325750189,H,NH
2021-01-14 13:00:00,-4.389263395333132,H,NH
2021-01-14 14:00:00,-4.344300150631465,H,NH
2021-01-14 15:00:00,-4.3101126695966405,H,NH
2021-01-14 16:00:00,-4.283397193413063,H,NH
2021-01-14 17:00:00,-4.263921674388526,H,NH
